Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,7.00000,0.87500,3.00000,1.00000,0.59460,0.59460
1,256,7.00000,0.87500,3.00000,1.00000,0.59460,0.59460
